,순위,상품명,브랜드명,평점,조회수,좋아요 수,구매후기 수,누적판매량
77,0.9828850855745721,[패키지] 올카 오버핏 스웨트셔츠 9종 2PACK KJMT2463,제멋,4.9,45000.0,4633,368,3000.0
78,0.9826628139586575,데일리 바이오 셔츠 - 8 COLOR,수아레,4.8,44000.0,3999,302,1400.0
79,0.9824405423427428,나일론 리버 뱅크 셔츠 Black Ink,그라미치,0.0,600.0,22,0,0.0
80,0.9822182707268282,링클 프리 베이직 셔츠_WHITE,시티브리즈,4.8,31000.0,21421,1936,4600.0
81,0.9819959991109135,UNISEX LAUREL OVERSIZED HOODIE - 5 COL,어반드레스,4.8,57000.0,53326,5604,23000.0
82,0.9817737274949989,TAG HOODIE - BLACK,브라운브레스,4.9,32000.0,56538,7673,13000.0
83,0.9815514558790842,케이블니트 V넥 스웨터 - 블랙,폴로 랄프 로렌,4.8,6000.0,10117,497,1200.0
84,0.9813291842631696,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],무신사 스탠다드,4.7,70000.0,80834,46867,78000.0
85,0.9811069126472549,베이식 긴팔 티셔츠 [화이트],무신사 스탠다드,4.8,41000.0,58738,66755,47000.0
86,0.9808846410313403,(23SS) 2 TONE ARCH TEE WHITE,예일,4.8,45000.0,75338,12873,64000.0
87,0.9806623694154256,오버핏 그래피티 로고 후디-블랙,필루미네이트,4.8,50000.0,10355,207,2000.0
88,0.980440097799511,Comfort Shirt  01 (Silver  (Thin)),포터리,4.9,15000.0,641,31,100.0
89,0.9802178261835963,LONELY/LOVELY FLUFF HOODIE OATMEAL,노앙,5.0,4100.0,281,5,50.0
90,0.9799955545676817,[패키지] 올카 오버핏 스웨트셔츠 9종 2PACK KJMT2463,제멋,4.9,45000.0,4636,368,3000.0
91,0.979773282951767,더블린 언발란스 캐시미어  블렌드 니트 클래식 차콜,세터,4.9,13000.0,11457,1248,3000.0
92,0.9795510113358524,TSHIRT FLOWERMARDI_WHITE GREEN,마르디 메크르디,4.9,26000.0,58476,8245,33000.0
93,0.9793287397199377,RESEARCH HOODIE [KHAKI],비바스튜디오,4.8,40000.0,34972,1955,7500.0
94,0.9791064681040231,듀스 네로 반팔티 화이트,팔렛,4.9,25000.0,58299,5399,23000.0
95,0.9788841964881084,우먼즈 베이식 크루 넥 반팔 티셔츠 [화이트],무신사 스탠다드,4.9,44000.0,45457,18011,45000.0
96,0.9786619248721938,오버핏 그래피티 로고 후디-멜란지그레이,필루미네이트,4.7,112000.0,24335,200,2700.0
97,0.9784396532562791,시티보이 보트자수 옥스포드 오버핏 셔츠 (SKY BLUE),트릴리온,4.8,19000.0,12039,1317,3000.0
98,0.9782173816403645,RL 플리스 로고 후디 - 네이비,폴로 랄프 로렌,4.9,1100.0,950,26,50.0
99,0.9779951100244498,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_멜란지그레이,코드그라피,4.8,86000.0,83033,7353,18000.0
100,0.9777728384085352,TD5-SH07 페이퍼셔츠-라벤더,토마스모어,4.9,4500.0,3156,863,1900.0
101,0.9775505667926205,2PACK : 하찌 엘보 볼륨 풀오버 7컬러,인템포무드,4.9,13000.0,4101,647,1600.0
102,0.9773282951767059,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],무신사 스탠다드,4.7,70000.0,80846,46867,78000.0
103,0.9771060235607912,링클 프리 베이직 셔츠_SKY BLUE,시티브리즈,4.9,9700.0,7273,605,1500.0
104,0.9768837519448766,오버핏 그래피티 로고 후디-오트밀,필루미네이트,4.8,68000.0,13678,107,1700.0
105,0.9766614803289619,유에스에이 바스켓볼 후드티 블랙,크림소다랩,4.8,21000.0,6590,588,3500.0
106,0.9764392087130473,MATIN KIM LOGO SILKET CROP TOP,마뗑킴,4.7,44000.0,66653,6293,18000.0
107,0.9762169370971326,Chaos Eater Heavy Terry Hoodie - Black,선데이오프클럽,4.9,10000.0,5180,310,900.0
108,0.975994665481218,쿨코튼 2-PACK 베츠 기본 반팔 티셔츠 블랙/화이트,이벳필드,4.9,37000.0,39859,11467,45000.0
109,0.9757723938653035,One Pocket Shirts Green,노클,0.0,300.0,37,0,0.0
110,0.9755501222493888,푸마 X 아미 폴로 티셔츠 - 블루 / 534067-93,푸마 셀렉트,4.9,1800.0,627,125,400.0
111,0.9753278506334742,(23SS) [ONEMILE WEAR] SMALL ARCH CREWNECK BLACK,예일,4.8,44000.0,18967,1851,12000.0
112,0.9751055790175595,Los Angeles Hoody [Blue],호텔세리토스,4.8,1000.0,523,117,100.0
113,0.9748833074016449,BLACK RABBIT T-SHIRT [2Color],에이프릴에잇,4.8,33000.0,8981,59,900.0
114,0.9746610357857302,오버핏 아치 로고 스웨트 셔츠-와인,필루미네이트,4.8,29000.0,21614,4616,12000.0
115,0.9744387641698156,[2PACK] HERITAGE DAN CABLE KNIT + OXFORD SMALL ARCH BIG SHIRT,예일,0.0,1000.0,69,0,0.0
116,0.9742164925539009,옵티멀 베이직 셔츠-화이트,필루미네이트,4.7,51000.0,32127,5881,9800.0
117,0.9739942209379863,[RMTC WITH SVT WOOZI] 우주공장 크루넥_라이트 그레이,로맨틱크라운,0.0,10000.0,778,0,400.0
118,0.9737719493220716,DTO 와펜 펀칭 카라 니트_포레스트 그린,디써티원,0.0,0.0,32,0,0.0
119,0.973549677706157,TD5-SH07 페이퍼셔츠 -스트로베리크림,토마스모어,4.9,4000.0,455,28,100.0
120,0.9733274060902423,데일리 바이오 셔츠 - 8 COLOR,수아레,4.8,45000.0,4008,302,1400.0
121,0.9731051344743277,화란 세미오버 니트 크림,엘무드,4.8,33000.0,16855,13262,9400.0
122,0.972882862858413,빅 트위치 로고 티셔츠 블랙,리,4.8,9100.0,42331,7254,16000.0
123,0.9726605912424984,23SS Comfy Oversized Shirt (Almond Milk),어나더 오피스,5.0,2800.0,132,6,50.0
124,0.9724383196265837,C 로고 맨투맨 네이비,커버낫,4.8,13000.0,39253,5907,7900.0
125,0.9722160480106691,1960 sweatshirts navy,유니폼브릿지,4.8,22000.0,45687,13412,7300.0
126,0.9719937763947544,넌슬립 자수 후드 그레이,꼼파뇨,4.8,25000.0,23392,1106,6200.0
127,0.9717715047788398,피치스킨 러스티 로고 스웨트셔츠 [딥블루],슬로우애시드,4.9,49000.0,15050,366,2500.0
