순위,상품명,브랜드,조회수,좋아요,구매후기 개수,평점,누적판매량
0.9764392087130473,척 70 빈티지 캔버스 러쉬블루 168514C,컨버스,19000.0,33576,4788,4.9,3800.0
0.9762169370971326,척 70 빈티지 캔버스 화이트 162065C,컨버스,13000.0,27494,5088,4.9,4000.0
0.975994665481218,슈퍼스타 82 - 화이트:그린 / GW6011,아디다스,17000.0,11223,743,4.8,2200.0
0.9757723938653035,COURT(Black White),이피티,8400.0,9138,1473,4.8,2700.0
0.9755501222493888,[오솔라이트] 유니 레더 독일군 (HPMR6CA03M RE),슈펜,27000.0,2671,736,4.9,1600.0
0.9753278506334742,올드스쿨 오버트 CC - 블랙:화이트 / VN0A7Q5EBA21,반스,8100.0,2798,309,4.9,1100.0
0.9751055790175595,트레이스파인더 트레일 - 블랙 / Q47235,아디다스,14000.0,1724,215,4.8,1000.0
0.9748833074016449,클래식 슬립온 플랫폼 - (체커보드) 블랙:화이트 / VN00018EBWW1,반스,12000.0,18213,6678,4.9,8200.0
0.9746610357857302,런스타 하이크 블랙 166800C,컨버스,10000.0,37184,8025,4.9,7600.0
0.9744387641698156,어센틱 VR3 - 블랙:마쉬멜로우 / VN0005UD1KP1,반스,12000.0,1628,155,4.9,500.0
0.9742164925539009,PUR_LEATHER_SNEAKERS_IVORY,마르디 메크르디 슈즈,7700.0,2897,100,4.8,400.0
0.9739942209379863,척테일러 올스타 캔버스 리프트 블랙 560250C,컨버스,11000.0,16499,2022,4.8,3200.0
0.9737719493220716,멕시코 66 1183A942_101,오니츠카타이거,20000.0,4806,251,4.8,400.0
0.973549677706157,척 70 빈티지 캔버스 러쉬블루 168509C,컨버스,14000.0,23684,4101,4.9,2900.0
0.9733274060902423,청키라이너 NY (Black),엠엘비,8900.0,2579,78,4.9,400.0
0.9731051344743277,가젤 - 오렌지 / GY7339,아디다스,23000.0,1005,29,4.9,200.0
0.972882862858413,N235USN311 컨투어 스니커즈 IVORY,내셔널지오그래픽,6400.0,344,31,4.9,100.0
0.9726605912424984,엘런 (O/WHITE),디스커버리 익스페디션,16000.0,7340,217,4.8,1300.0
