,순위,상품명,브랜드,평점,구매후기 개수,좋아요 수,누적판매량,조회수
78,0.9826628139586576,워크샵 오픈니 팬츠 그레이,트래블,4.8,105,2850,500,26000
79,0.9824405423427428,페이딩 패널 데님 팬츠 (블루),쿠어,4.9,61,1403,200,15000
80,0.9822182707268282,Mid Rise Wide Jeans DCPT027CrinkleBlue,데케트,5.0,46,1819,400,18000
81,0.9819959991109136,[2PACK] 부에노 파라슈트 밴딩 팬츠_4가지 색상,아르반,4.8,54,429,100,12000
82,0.9817737274949988,워크샵 오픈니 팬츠 블랙,트래블,4.9,115,1682,400,18000
83,0.9815514558790842,23SS CONE MILL WASHED ONE TUCK DENIM PANTS WASHED SKY,비슬로우,4.9,44,653,100,7600
84,0.9813291842631696,와이드 파라슈트 팬츠 블랙 IEPA3E010BK,일꼬르소,4.9,47,685,100,20000
85,0.9811069126472548,브루클린 뉴트로 와이드 워시드 팬츠 라이트 블루,세터,4.9,79,1552,200,10000
86,0.9808846410313404,코듀로이 투웨이 밴딩 팬츠[블랙],시그니처,4.6,871,4801,3800,25000
87,0.9806623694154256,23SS LOOSE FIT CURVED JEAN WASHED SKY,비슬로우,5.0,24,735,100,11000
88,0.980440097799511,OUT BELTED CARGO PANTS_BLACK,아웃스탠딩,4.9,26,449,200,8100
89,0.9802178261835964,Needlepoint tuck cargo pants [black],더 아이덴티티 프로젝트,4.8,125,1201,200,10000
90,0.9799955545676816,원 턱 패널 데님 팬츠 블루 IEPA3E102B2,일꼬르소,4.8,24,590,100,11000
91,0.979773282951767,우먼스 스몰라쿠 와이드팬츠(네이비),테이크이지,4.9,45,2633,500,41000
92,0.9795510113358524,CALIK 파라슈트 와이드 진 BLUE,인사일런스,4.8,37,860,100,11000
93,0.9793287397199376,1853 LOKI JEANS [EXTRA WIDE STRAIGHT],브랜디드,4.9,50,865,100,10000
94,0.9791064681040232,[패키지][써머ver] 쿨 나일론 스트링 팬츠,코드그라피,4.9,50,2138,800,42000
95,0.9788841964881084,헤비웨이트 투웨이 팬츠 - 멜란지 그레이,에프씨엠엠,4.8,58,729,500,6500
96,0.9786619248721938,에어 파라슈트 세미 와이드 팬츠 (베이지),파브레가,5.0,125,701,300,9200
97,0.9784396532562792,(시티보이) 와이드 카고 팬츠_SPTCD23C06,스파오,4.9,62,1922,400,22000
98,0.9782173816403644,Reverse Block Denim Pants Light Denim/reverse,스컬프터,4.9,30,2230,100,10000
99,0.9779951100244498,CONE 스트레이트 데님 팬츠 [미디엄 인디고],무신사 스탠다드,4.9,149,799,400,9200
100,0.9777728384085352,샌드 스모키 세미 와이드 데님 팬츠,파브레가,4.9,57,619,100,7500
101,0.9775505667926204,Contem wide - 논페이드 로우,오더아카이브,4.8,62,934,300,9700
102,0.977328295176706,#0331 UNDER RISE LOOSE FIT - DIRTY BLUE,페이탈리즘,4.9,135,1698,300,10000
103,0.9771060235607912,One Washed Wide Denim Cotton High Density Twill Denim Cloth Washer Finish (Mid Blue),포터리,5.0,35,641,50,15000
104,0.9768837519448766,아디브레이크 트랙 팬츠 W - 블랙 / IB5924,아디다스,4.7,29,1932,200,13000
105,0.976661480328962,51054 CONE BLACK MYSTIC JEANS [EXTRA WIDE STRAIGHT],브랜디드,5.0,256,1382,400,7000
106,0.9764392087130472,컷오프 커브드 데님 팬츠 LIGHT BLUE,인사일런스,5.0,42,481,100,12000
107,0.9762169370971326,CONE 스트레이트 데님 팬츠 [워시드 블랙],무신사 스탠다드,4.9,211,794,500,8000
108,0.975994665481218,데님믹스 나일론 트랙 팬츠 (스틸그레이),쿠어,5.0,7,685,100,14000
109,0.9757723938653036,23SS M51 Field Pants (Olive Drab),어나더 오피스,5.0,19,205,50,7700
110,0.9755501222493888,남성 1979 슬린커 데님 팬츠 - 블루 / A0359409E4301,디젤,5.0,16,120,50,3000
111,0.9753278506334742,투 톤 카고 팬츠 [카키 베이지],러닝하이,4.9,44,2345,100,9200
112,0.9751055790175596,논 페이드 원턱 와이드 커브드 데님팬츠 로우,오더아카이브,4.9,91,1640,400,12000
113,0.9748833074016447,CONE 스트레이트 데님 팬츠 [크림],무신사 스탠다드,4.8,105,607,300,7600
114,0.9746610357857302,Wide Paratrooper Cargo Pants Charcoal,스컬프터,4.8,27,1850,100,9200
115,0.9744387641698156,Women needlepoint cargo pants [black],더 아이덴티티 프로젝트,4.9,12,2112,100,14000
116,0.9742164925539007,트레일 와이드 카고 데님 팬츠 그레이,굿라이프웍스,4.7,38,1877,300,16000
117,0.9739942209379864,셔링 컴벳 트라우져 (베이지),쿠어,4.9,17,857,100,9300
118,0.9737719493220716,우먼스 스몰라쿠 와이드팬츠(블랙),테이크이지,4.9,48,888,500,11000
119,0.973549677706157,LOOSE FIT CARPENTER DENIM PANTS_BLACK DENIM,아웃스탠딩,4.9,649,3063,1500,8500
120,0.9733274060902424,델타 카고 트라우져 - 아이언,배드블러드,4.9,32,2876,100,10000
121,0.9731051344743276,사이드 와이어 데님 그린,디앤에스알,4.9,171,3354,400,8300
122,0.972882862858413,[패키지] 로너 와이드 코튼팬츠 2PACK JJLP7639,더블유브이프로젝트,4.7,37,505,300,4300
123,0.9726605912424984,브릭 커브 패널 와이드 진 apa609m(BLUE),앤더슨벨,5.0,23,416,50,8100
124,0.9724383196265836,BLACK WAVE DENIM PRINTING PANTS,메종미네드,4.9,17,847,100,10000
125,0.9722160480106692,와이드 파라슈트 팬츠 라이트베이지 IEPA3E010I1,일꼬르소,5.0,40,522,100,9700
126,0.9719937763947544,One Tuck Wide Baker Denim Pants [Non Fade Denim],비긴202,4.9,71,788,100,7000
127,0.9717715047788398,[2PACK] 린넨 데님 세미 와이드 밴딩 팬츠 세트,수아레,4.8,24,697,100,6700
128,0.9715492331629252,Acid Cargo Jogger Pants Brushed Indigo,스컬프터,4.9,42,1340,100,8300
129,0.9713269615470104,원턱 와이드 스웨트 카고팬츠 카키,가까이 유니언즈,4.9,43,1322,300,14000
130,0.9711046899310958,23SS ONE TUCK VOLUME PANTS LIGHT BEIGE,비슬로우,5.0,18,656,100,8700
131,0.9708824183151812,ODPL 와이드 데님 팬츠 내츄럴크림진 [스티치 Ver],오더아카이브,4.9,186,1818,900,14000
132,0.9706601466992664,M51 Field Pants Charcoal,에스피오나지,5.0,30,417,100,7700
133,0.970437875083352,[-6cm 숏버전 추가] M194 와이드 데님 팬츠_블랙,와르,4.9,24,742,200,8800
134,0.9702156034674372,One Washed Wide Denim Cotton High Density Twill Denim Cloth Washer Finish (Light Blue),포터리,4.8,17,375,50,6600
135,0.9699933318515226,스모크 와이드 데님 팬츠 빈티지블랙 KMLP6669,에즈카톤,4.8,89,3405,500,15000
136,0.969771060235608,DOUBLE TUCK TAB PANTS,메종미네드,4.9,38,937,100,8100
137,0.9695487886196932,울 카고 팬츠 BLACK,인사일런스,5.0,33,462,100,5600
138,0.9693265170037786,Napping cotton cargo wide pants khaki,스케이터락,4.9,81,3367,400,20000
139,0.969104245387864,트랙 워시드 데님[인디고투톤],시그니처,4.8,40,1255,200,12000
140,0.9688819737719492,파타니 크랙 카고 팬츠 apa588m(KHAKI),앤더슨벨,5.0,9,249,50,5600
141,0.9686597021560348,COMFORT SEEKING CARGO JOGGER PANTS CHARCOAL,프렌다,5.0,21,2413,200,17000
142,0.96843743054012,데님 팬츠 - 블루 / IP3768,아디다스,5.0,2,3160,100,20000
143,0.9682151589242054,(올시즌) 투턱 와이드 데님 팬츠_크림,디미트리블랙,4.9,64,1418,300,16000
144,0.9679928873082908,COOL TO WORK JOGGER PANTS GRAY,프렌다,4.8,183,5054,700,10000
145,0.967770615692376,모두바지-썸머 (Black),하이드아웃,4.0,2,233,100,4100
146,0.9675483440764614,Side-line Wide Pants BLACK,어반드레스,4.8,243,4446,1000,12000
147,0.9673260724605468,UNBALANCED CARGO PANTS Ⅱ (BLACK),이티씨이,5.0,40,222,50,3400
148,0.967103800844632,커브드 와이드 데님 팬츠_블랙진,인템포무드,4.9,110,1365,300,8100
149,0.9668815292287176,#0313 MERNOZ WIDE FIT,페이탈리즘,4.9,129,1778,400,7400
150,0.9666592576128028,스트레이트 블랙 RAW 데님 팬츠,리,4.9,38,657,100,8500
151,0.9664369859968882,파이어버드 트랙 팬츠 W - 블랙 / IB7326,아디다스,4.7,21,2776,100,13000
152,0.9662147143809736,파라슈트 하프 밴딩 팬츠_블랙,아르반,4.9,86,603,100,5900
153,0.9659924427650588,Loose Out Wide Denim - BROWN,마틴플랜,4.9,19,684,100,6300
154,0.9657701711491442,워크샵 오픈니 팬츠 바이올렛 핑크,트래블,4.8,46,1586,300,16000
155,0.9655478995332296,와이드 워시드 카고 데님 팬츠 딥블루인디고,굿라이프웍스,4.8,24,1309,200,10000
156,0.9653256279173148,CONE 슬림 크롭 데님 팬츠 [미디엄 인디고],무신사 스탠다드,4.9,112,509,300,6900
157,0.9651033563014004,23SS Santiago Slacks (Bamboo),어나더 오피스,4.9,26,192,50,7200
158,0.9648810846854856,CONE 슬림 크롭 데님 팬츠 [워시드 블랙],무신사 스탠다드,4.8,89,538,300,7200
159,0.964658813069571,뉴트로 컬러 데님 팬츠_핑크블루,인템포무드,5.0,68,1393,200,10000
160,0.9644365414536564,바이오스톤 워싱 와이드 데님 팬츠 (BEIGE BLACK),트릴리온,4.8,102,1981,700,21000
161,0.9642142698377416,30’S CINCH BACK SELVEDGE WIDE PANTS_INDIGO,아웃스탠딩,4.4,28,373,100,7800
162,0.963991998221827,원턱 와이드 스웨트 카고팬츠 블랙,가까이 유니언즈,4.9,31,839,300,10000
163,0.9637697266059124,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [다크 그레이],무신사 스탠다드,4.9,128,1755,500,8000
164,0.9635474549899978,Light Two Tuck Wide Jeans (L.Blue),포트너스,4.9,34,472,100,9300
165,0.9633251833740832,코튼-나일론 파라슈트 팬츠 (크림),노이어,4.9,17,846,50,9200
166,0.9631029117581684,와이드 파라슈트 팬츠 블랙,파르티멘토,4.5,21,1107,200,13000
167,0.9628806401422538,[NF] 유쓰 데님 오버롤 (LIGHT BLUE)_F23QD844,네스티팬시클럽,4.6,14,1662,100,9700
168,0.9626583685263392,23SS Santiago Officer Pants (Olive Gray),어나더 오피스,5.0,13,309,50,8600
169,0.9624360969104244,모두바지- 오리진 (Charcoal),하이드아웃,4.8,6,209,100,4100
170,0.96221382529451,23SS ONE TUCK BANDING DENIM LIKE PANTS INDIGO,비슬로우,4.7,11,302,100,5800
171,0.9619915536785952,헤비웨이트 투웨이 팬츠 - 블랙,에프씨엠엠,4.9,30,508,400,10000
172,0.9617692820626806,EXPOSURE ZIP DETAIL PANTS (UNISEX / BLACK),나체,4.9,25,1014,100,6000
173,0.961547010446766,파라슈트 스트링 팬츠 블랙,애습,4.8,40,655,100,9600
174,0.9613247388308512,ESSENTIAL PINTUCK DRAWSTRING PANTS [BLACK],그레일즈,4.5,6,294,50,10000
175,0.9611024672149366,Velour Track Pants Black,스컬프터,4.9,17,994,100,3200
176,0.960880195599022,스트럭처드 멀티 카고 팬츠 [블랙],알리스,4.9,49,583,50,5000
177,0.9606579239831072,(VLADIMIR) 워터프루프 와이드 카고 팬츠_차콜그레이,디미트리블랙,4.9,75,956,300,11000
178,0.9604356523671927,파라슈트 스트링 팬츠 카키 베이지,애습,4.9,33,768,100,13000
179,0.960213380751278,MSSG COLOR JEAN - PURPLE,브라운브레스,4.9,40,790,100,5900
180,0.9599911091353636,One Tuck Wide Denim Pants[Loose Blue],비긴202,4.9,189,1668,400,6900
181,0.9597688375194487,뉴트로 컬러 데님 팬츠_그린블루,인템포무드,5.0,47,1307,100,10000
182,0.9595465659035342,805 NYLON PARACHUTE PANTS [BLACK],인스펙터,5.0,107,777,100,5400
183,0.9593242942876196,스티즈 K03 미드 블루,플랙,4.8,14,249,50,4200
184,0.9591020226717047,OBLIQUE MS ZIPPER DENIM MSHJP001-BK,매스노운,4.7,12,725,50,6100
185,0.9588797510557902,XP139 플라워 와이드 데님 팬츠 (BLUE),엑스톤즈,5.0,44,1268,100,5300
186,0.9586574794398756,CONE 스트레이트 데님 팬츠 [딥 인디고],무신사 스탠다드,4.9,227,842,500,8000
187,0.9584352078239609,우먼스 월계수 와이드팬츠(오트밀),테이크이지,4.8,282,3121,1200,10000
188,0.9582129362080464,ROCK SLIDE 데님 팬츠 Dark Indigo,그라미치,4.7,10,126,50,3000
189,0.9579906645921316,리버스 원 턱 와이드 히든 밴딩 슬랙스 [블랙],무신사 스탠다드,4.7,10,618,200,13000
190,0.957768392976217,ADS 빈티지 2 way 조거 - 네이비,배드블러드,4.9,95,4788,300,9300
191,0.9575461213603024,PINTUCK NYLON PANTS [GREY],그레일즈,4.9,9,171,50,5100
192,0.9573238497443876,CONE 슬림 크롭 데님 팬츠 [라이트 인디고],무신사 스탠다드,4.9,113,760,300,8500
193,0.957101578128473,에센셜 세미 와이드 코듀로이 팬츠 브라운,굿라이프웍스,4.8,755,5123,2800,7600
194,0.9568793065125584,Dawn Semi Wide Jeans DCPT002LaserBlue,데케트,4.6,51,466,300,6600
195,0.9566570348966436,GD Washed Denim Pant Light Blue,디스이즈네버댓,4.9,65,834,100,4100
196,0.9564347632807292,테크니컬 카고 데님 팬츠 (인디고),쿠어,5.0,2,585,50,9600
197,0.9562124916648144,SURPLUS NYLON PANTS [BLACK],그레일즈,4.8,4,152,50,6200
198,0.9559902200488998,원마일 팬츠 -라이트 (Khaki),하이드아웃,4.9,24,198,100,3400
199,0.9557679484329852,와이드 코튼 팬츠_블랙,로맨틱크라운,5.0,8,627,100,4700
200,0.9555456768170704,레귤러핏 874 팬츠 - 올리브 그린,디키즈,4.9,197,1463,800,20000
201,0.9553234052011558,CALIK 로우 웨이스트 와이드 진 ASH GREY,인사일런스,4.9,17,630,50,7000
202,0.9551011335852412,더티 워싱 카펜더 진-블루,오와이,0.0,0,509,50,3700
203,0.9548788619693264,벌룬핏 파이핑 이지팬츠 (스틸그레이),쿠어,3.7,7,899,50,12000
