,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
78,0.9826628139586575,샌드라인 3 (BLACK),디스커버리 익스페디션,8400.0,4953,1587,4.8,2200.0
79,0.9824405423427428,뉴 빈티지 더비 R22M011 (크랙 블랙),로맨틱무브,4700.0,2364,471,4.9,1000.0
80,0.9822182707268282,1461 3홀 블랙 나파 11838001,닥터마틴,5600.0,6426,1308,4.8,1200.0
81,0.9819959991109135,2976 첼시부츠 스무스 블랙 / 11853001,닥터마틴,6900.0,16462,3627,4.8,2500.0
82,0.9817737274949989,ORIGINAL RAIN BOOTS SHORT - 8color,락피쉬웨더웨어,8100.0,1333,46,4.8,200.0
83,0.9815514558790842,폴카1 패딩 슬리퍼 2-PACK,23.65,48000.0,11690,1685,4.6,6600.0
84,0.9813291842631696,조이 캔버스 (5XM02289F100),케즈,12000.0,2579,68,4.9,500.0
85,0.9811069126472549,[WOMEN] 오리지날 플레이 숏 레인부츠 - 블랙 WFS2020RMABLK,헌터,3500.0,2396,396,4.9,500.0
86,0.9808846410313403,스웨이드 왈라비 모크 슈즈 [BEIGE],드로우핏,7500.0,1020,32,4.8,100.0
87,0.9806623694154256,알파바운스 슬라이드 2.0 - 아이보리:베이지 / HQ7157,아디다스,12000.0,1372,338,4.9,1200.0
88,0.980440097799511,N232USD322 리플 슬라이드 BLACK,내셔널지오그래픽,7900.0,756,146,4.9,700.0
89,0.9802178261835963,RX 슬라이드 5.0 - 블랙:블랙 / L41278200,살로몬,8000.0,496,176,4.8,400.0
90,0.9799955545676817,볼드 목토 로퍼 [블랙],무신사 스탠다드,6600.0,3263,441,4.7,1400.0
91,0.979773282951767,라운드 더비 슈즈 [블랙],무신사 스탠다드,5100.0,1006,155,4.8,600.0
92,0.9795510113358524,SECOND.A 볼드쉐입 미니멀 더비슈즈 2NDF3100GB [BLACK],피렌체 아뜨리에,4400.0,2547,450,4.8,1100.0
