순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
73위,키뮤어,코튼 워셔블 하찌 하프집업 니트_5 COLOR,https://www.musinsa.com/app/goods/2702396?loc=goods_rank,KBBW9KL002,남 여,8.7만 회 이상,4.6만 개 이상,"69,280"
74위,마르디 메크르디,SWEATSHIRT FLOWERMARDI_OATMEAL BLACK,https://www.musinsa.com/app/goods/1549281?loc=goods_rank,MM2034SW007,여,3.5만 회 이상,1.3만 개 이상,"38,585"
75위,피지컬 에듀케이션 디파트먼트,PHYPS® MONDAY ROUTINE STITCH HOODIE OATMEAL,https://www.musinsa.com/app/goods/2744370?loc=goods_rank,PD01HD0004OT,남 여,4.3만 회 이상,4.6천 개 이상,"24,279"
76위,리,빅 트위치 루즈핏 후드 네이비,https://www.musinsa.com/app/goods/1571501?loc=goods_rank,LE2203HD01NA,남 여,3.5만 회 이상,1.9만 개 이상,"88,412"
77위,꼼파뇨,[기모] Geppetto 자수 후드 크림,https://www.musinsa.com/app/goods/1152854?loc=goods_rank,FZ910202,남,4만 회 이상,1만 개 이상,"32,989"
78위,에스피오나지,Miller Knit Sweater Burnt Orange,https://www.musinsa.com/app/goods/2419002?loc=goods_rank,20220315-08,남 여,2.6만 회 이상,1.2천 개 이상,"2,682"
79위,트릴리온,워셔블 하프 집업 카라넥 하찌 니트 (CURRENT NAVY),https://www.musinsa.com/app/goods/2775710?loc=goods_rank,TRFKN03,남 여,5.9만 회 이상,1.3만 개 이상,"30,689"
80위,테이크이지,램스울 크루넥 오버니트(연차콜),https://www.musinsa.com/app/goods/1599217?loc=goods_rank,T20NT001,남 여,4.8만 회 이상,1.6만 개 이상,"76,595"
81위,1993스튜디오,빈티지 반 집업_라이트그레이,https://www.musinsa.com/app/goods/2660716?loc=goods_rank,93223TMT1005,남 여,6만 회 이상,9.4천 개 이상,"34,454"
82위,트래블,미시간 울버린 피그먼트 후드티 블랙 차콜,https://www.musinsa.com/app/goods/2099882?loc=goods_rank,TRTOAWHD12UC5,남 여,3.7만 회 이상,2.2만 개 이상,"80,773"
83위,필루미네이트,오버핏 아치 로고 스웨트 셔츠-네이비,https://www.musinsa.com/app/goods/2096933?loc=goods_rank,Overfit Arch Logo Sweat Shirt,남 여,2.9만 회 이상,1.3만 개 이상,"19,101"
84위,시티브리즈,링클 프리 베이직 셔츠_WHITE,https://www.musinsa.com/app/goods/2085005?loc=goods_rank,CTA0WS01WH,여,3.1만 회 이상,4.6천 개 이상,"21,255"
85위,예일,(23SS) 2 TONE ARCH HOODIE BLACK,https://www.musinsa.com/app/goods/1742661?loc=goods_rank,YD01HD1007BK,남 여,2.8만 회 이상,2.1만 개 이상,"43,495"
86위,필루미네이트,오버핏 그래피티 로고 후디-오트밀,https://www.musinsa.com/app/goods/3026606?loc=goods_rank,Overfit Graffiti Logo Hoodie,남 여,6.6만 회 이상,1.7천 개 이상,"13,224"
87위,무신사 스탠다드,베이식 긴팔 티셔츠 [화이트],https://www.musinsa.com/app/goods/1144989?loc=goods_rank,MITS0009-WH,남,4.1만 회 이상,4.8만 개 이상,"58,688"
88위,브라운브레스,TAG HOODIE - BURGUNDY,https://www.musinsa.com/app/goods/2722805?loc=goods_rank,BISMHDB01BD,남 여,2.9만 회 이상,3.8천 개 이상,"12,834"
89위,수아레,[리뉴얼] 하프 터틀넥 니트 세트,https://www.musinsa.com/app/goods/1558847?loc=goods_rank,670743,남,2.9만 회 이상,4.8만 개 이상,"49,913"
90위,인템포무드,해비 코튼 썸홀 후디 : 15color,https://www.musinsa.com/app/goods/2319988?loc=goods_rank,487389,남,3.1만 회 이상,9천 개 이상,"17,891"
