순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
41위,SWEATSHIRT FLOWERMARDI NEEDLEWORK_HEATHER CORAL,마르디 메크르디,https://www.musinsa.com/app/goods/2064576?loc=goods_rank,3.1천 회 이상,"7,607",후기 491개 보기,4.8,600개 이상
42위,스웨트셔츠 [블랙],무신사 스탠다드,https://www.musinsa.com/app/goods/947067?loc=goods_rank,5.1만 회 이상,"30,149","후기 22,023개 보기",4.8,2.4만 개 이상
43위,빈티지 반 집업_오트베이지,1993스튜디오,https://www.musinsa.com/app/goods/2660728?loc=goods_rank,4.2만 회 이상,"27,593","후기 1,939개 보기",4.8,9.5천 개 이상
44위,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_네이비,코드그라피,https://www.musinsa.com/app/goods/2043056?loc=goods_rank,3.3만 회 이상,"45,420","후기 5,366개 보기",4.8,1.2만 개 이상
45위,파파독 스웨트 셔츠 빈티지 블랙 뉴 와이드 핏,듀테로,https://www.musinsa.com/app/goods/3151608?loc=goods_rank,400회 이상,15,후기 2개 보기,5,
46위,포플린 스트레치 셔츠 - 화이트,폴로 랄프 로렌,https://www.musinsa.com/app/goods/3097185?loc=goods_rank,1.2천 회 이상,132,후기 0개,평점 0점,
47위,SWEATSHIRT UNIV_OATMEAL BLACK,마르디 메크르디,https://www.musinsa.com/app/goods/2354305?loc=goods_rank,1만 회 이상,"19,617","후기 1,590개 보기",4.8,3.9천 개 이상
48위,T-Logo Hoodie Navy,디스이즈네버댓,https://www.musinsa.com/app/goods/2758347?loc=goods_rank,7.4만 회 이상,"26,162","후기 1,368개 보기",4.9,8.1천 개 이상
49위,[패키지] 오버핏 그래픽 반팔티셔츠 3PACK _BB2H18881,본하이커,https://www.musinsa.com/app/goods/1828538?loc=goods_rank,2.4만 회 이상,"15,305","후기 2,808개 보기",4.8,1만 개 이상
50위,릴렉스 핏 옥스포드 셔츠 [화이트],무신사 스탠다드,https://www.musinsa.com/app/goods/854337?loc=goods_rank,4.9만 회 이상,"19,634","후기 16,944개 보기",4.8,2.3만 개 이상
51위,SWEATSHIRT FLOWERMARDI_WHITE VIVIDBLUE,마르디 메크르디,https://www.musinsa.com/app/goods/2354252?loc=goods_rank,2.6만 회 이상,"33,889","후기 1,715개 보기",4.9,7천 개 이상
52위,커스텀핏 버튼다운 옥스포드 셔츠  - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1498103?loc=goods_rank,8.6천 회 이상,"5,580",후기 825개 보기,4.8,1.1천 개 이상
53위,23SS Comfy Oversized Shirt (Almond Milk),어나더 오피스,https://www.musinsa.com/app/goods/3101332?loc=goods_rank,2.8천 회 이상,132,후기 6개 보기,5,50개 미만
54위,립 오버핏 데님 셔츠_BLUE,헤인트,https://www.musinsa.com/app/goods/3152340?loc=goods_rank,,1,후기 0개,평점 0점,
55위,벤슨 니트 집업(3 colors),그로브,https://www.musinsa.com/app/goods/2801486?loc=goods_rank,8.7천 회 이상,"12,298",후기 247개 보기,4.7,500개 이상
56위,에센셜 쿨 코튼 2-PACK 티셔츠 블랙,커버낫,https://www.musinsa.com/app/goods/1848166?loc=goods_rank,9.1만 회 이상,"133,142","후기 40,409개 보기",4.9,14.1만 개 이상
57위,[2PACK] 베이식 무지 레이어드 반팔 티셔츠 일반 기장,프린트스타,https://www.musinsa.com/app/goods/2186292?loc=goods_rank,8.1만 회 이상,"23,305","후기 13,540개 보기",4.8,5.3만 개 이상
58위,SSB LOGO HOODIE (HEATHER GRAY),발란사,https://www.musinsa.com/app/goods/2875168?loc=goods_rank,500회 이상,114,후기 9개 보기,5,50개 미만
59위,클래식핏 스트라이프 셔츠 - 블루,폴로 랄프 로렌,https://www.musinsa.com/app/goods/2336412?loc=goods_rank,600회 이상,527,후기 28개 보기,4.7,50개 이상
60위,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_오트밀,코드그라피,https://www.musinsa.com/app/goods/2680289?loc=goods_rank,4.5만 회 이상,"24,042","후기 1,244개 보기",4.9,6.8천 개 이상
61위,LONELY/LOVELY FLUFF SWEATSHIRT ASH GRAY,노앙,https://www.musinsa.com/app/goods/3080097?loc=goods_rank,1만 회 이상,514,후기 33개 보기,5,200개 이상
