순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
3389위,FUCK N RUN T-SHIRT - WHITE,라퍼,https://www.musinsa.com/app/goods/2525118?loc=goods_rank,5.6천 회 이상,"3,174",후기 167개 보기,4.9,700개 이상
3390위,WOMEN 크롭 슬림 반팔 셔츠 [WHITE] 크롭티 반팔티,콜릿,https://www.musinsa.com/app/goods/1952975?loc=goods_rank,4.8천 회 이상,"29,230","후기 2,598개 보기",4.7,5천 개 이상
3391위,JUST LOOK HOODIE [LIGHT PURPLE],비바스튜디오,https://www.musinsa.com/app/goods/2713182?loc=goods_rank,3.5천 회 이상,"6,315",후기 330개 보기,4.9,800개 이상
3392위,어센틱 로고 후디 네이비,커버낫,https://www.musinsa.com/app/goods/947495?loc=goods_rank,6.9천 회 이상,"29,372","후기 2,724개 보기",4.8,4천 개 이상
3393위,LIT/G CROP TOP(RED),러브이즈트루,https://www.musinsa.com/app/goods/588339?loc=goods_rank,1.2천 회 이상,155,후기 19개 보기,4.7,50개 미만
3394위,푸마 X 아미 폴로 티셔츠 - 그린 / 534067-96,푸마 셀렉트,https://www.musinsa.com/app/goods/2395143?loc=goods_rank,3.4천 회 이상,"1,147",후기 204개 보기,4.9,700개 이상
3395위,ESSENTIAL_UNISEX Argyle Hole V Neck Sweatshirt [Dusty Green],문선,https://www.musinsa.com/app/goods/2397389?loc=goods_rank,400회 이상,388,후기 29개 보기,4.7,50개 이상
3396위,[ASIA] Tokyo 그래픽 Mid Weight 스웨트셔츠 (NORMAL GREY) CKTS1F923G2,챔피온,https://www.musinsa.com/app/goods/2162178?loc=goods_rank,500회 이상,63,후기 4개 보기,5,
3397위,PO HEART KNIT(SKY BLUE),러브이즈트루,https://www.musinsa.com/app/goods/1586586?loc=goods_rank,1.1만 회 이상,"17,927",후기 564개 보기,4.8,1.9천 개 이상
3398위,BILBAO LONG SLEEVE CHARCOAL/BEIGE,프렌다,https://www.musinsa.com/app/goods/3048176?loc=goods_rank,5천 회 이상,"1,082",후기 20개 보기,4.8,100개 이상
3399위,레더 패치드 데미지 니트 BLUE GREY,도프제이슨,https://www.musinsa.com/app/goods/3042117?loc=goods_rank,6.6천 회 이상,516,후기 39개 보기,4.9,100개 이상
