순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
207위,노매뉴얼,PPS HAIRY CARDIGAN - BLACK,https://www.musinsa.com/app/goods/2052492?loc=goods_rank,NM03KT01M1BK,남 여,1.2만 회 이상,2.5천 개 이상,"19,372"
208위,트래블,워크샵 집 후드 윈드 브레이커 블랙,https://www.musinsa.com/app/goods/3048951?loc=goods_rank,TRTHSSWB24UC6,남,1.2만 회 이상,200개 이상,929
209위,스파오,배색 윈드브레이커_SPJJD23C21,https://www.musinsa.com/app/goods/1751722?loc=goods_rank,SPJJD23C21,남 여,2.7만 회 이상,6.4천 개 이상,"15,299"
210위,노매뉴얼,TAYLOR VARSITY JACKET - BLACK,https://www.musinsa.com/app/goods/2043568?loc=goods_rank,NM04JK05M1BK,남 여,6만 회 이상,8.1천 개 이상,"36,315"
211위,제멋,리치 오버 MA-1 자켓 블랙 YHJK2269,https://www.musinsa.com/app/goods/1291017?loc=goods_rank,1877038,남,15.3만 회 이상,1.9만 개 이상,"72,948"
212위,드로우핏,오버사이즈 모즈 울 블레이저 [DARK BROWN],https://www.musinsa.com/app/goods/2315115?loc=goods_rank,DFJK2101DABR,남,1.2만 회 이상,1.4천 개 이상,"4,349"
213위,도프제이슨,오버핏 비건레더 보머 자켓,https://www.musinsa.com/app/goods/2086731?loc=goods_rank,DF22SS406,남,3.4만 회 이상,3.7천 개 이상,"11,042"
214위,르꼬끄,쉐브론 바람막이 자켓 (QO123TJK21),https://www.musinsa.com/app/goods/3047400?loc=goods_rank,QO123TJK21_BLK0,남,8.3천 회 이상,50개 이상,547
215위,드로우핏,미니멀 소프트 울 자켓 [MELANGE BROWN],https://www.musinsa.com/app/goods/2322839?loc=goods_rank,DFJK2103MEBR,남,1.4만 회 이상,1천 개 이상,"3,942"
216위,슬로우 레코드 하우스,파이핑 라인 바시티 자켓_브라운,https://www.musinsa.com/app/goods/3056720?loc=goods_rank,Piping Varcity,남,5.9천 회 이상,50개 미만,600
217위,캡스앤스터프,커브 바시티 자켓 (베이지),https://www.musinsa.com/app/goods/3117318?loc=goods_rank,CA231JP001_BE,여,800회 이상,,65
218위,드로우핏,오버사이즈 모즈 울 블레이저 [MELANGE BROWN],https://www.musinsa.com/app/goods/2322647?loc=goods_rank,DFJK2101MEBR,남,4.1천 회 이상,300개 이상,"1,214"
219위,우알롱,Denim over fit track jumper - BLUE,https://www.musinsa.com/app/goods/3107377?loc=goods_rank,WF1WJP209BL,남 여,1.1천 회 이상,,161
220위,엑스톤즈,XTK040 스포티 라운드 니트 집업 (BLACK),https://www.musinsa.com/app/goods/3031509?loc=goods_rank,xtk040,남,2.9만 회 이상,1천 개 이상,"5,259"
221위,플랙,언어펙티드 X 플랙 트러커 자켓 블랙,https://www.musinsa.com/app/goods/2732408?loc=goods_rank,PWTT5JKM665DB6,남,3.3천 회 이상,100개 이상,981
222위,인사일런스,플리츠 데님 자켓 ASH BEIGE,https://www.musinsa.com/app/goods/3114511?loc=goods_rank,IM2C2JK32BE,남,2.7천 회 이상,,126
223위,후아유,클래식 해링턴 자켓 WHJKD1221U,https://www.musinsa.com/app/goods/3028642?loc=goods_rank,WHJKD1221U,남,3만 회 이상,800개 이상,"1,914"
224위,예일,(23SS) EMBROIDERY UNIVERSITY DAN HOODIE ZIP UP BLACK,https://www.musinsa.com/app/goods/2066200?loc=goods_rank,YA2HD0011BK,남 여,1.1만 회 이상,2.9천 개 이상,"9,433"
225위,유쓰배쓰,카라 스타라인 스카쟌_라이트그레이,https://www.musinsa.com/app/goods/3057423?loc=goods_rank,23SSOT09,남,500회 이상,,106
226위,우알롱,Signature hood zip-up - GREY,https://www.musinsa.com/app/goods/2287430?loc=goods_rank,hj_21ss_001gy,남 여,4.2만 회 이상,9.3천 개 이상,"26,893"
227위,마뗑킴,SPELL POINT STRIPE KNIT VEST IN BLACK,https://www.musinsa.com/app/goods/3125671?loc=goods_rank,MK2312KV002M0BB,남 여,6.2천 회 이상,50개 미만,670
228위,플레이스 스튜디오,오버사이즈 유틸리티 코튼 블루종 집업 자켓 [블랙],https://www.musinsa.com/app/goods/2702015?loc=goods_rank,2208FW,남 여,5.5만 회 이상,2.5천 개 이상,"19,361"
229위,일꼬르소,테크 후드 윈드브레이커 블랙 IEJU3E202BK,https://www.musinsa.com/app/goods/3058780?loc=goods_rank,IEJU3E202BK,남,2.4만 회 이상,300개 이상,890
230위,트래블,어프로칭 후드 윈드 브레이커 블랙,https://www.musinsa.com/app/goods/1285424?loc=goods_rank,TRTTSSWB01UC6,남 여,3.8만 회 이상,5.3천 개 이상,"28,876"
231위,커버낫,스몰 어센틱 로고 후디 집업 블랙,https://www.musinsa.com/app/goods/1576564?loc=goods_rank,CO2301HZ01BK,남 여,1만 회 이상,1천 개 이상,"10,879"
232위,코드그라피,나일론 리치포켓 후드 바람막이_블랙,https://www.musinsa.com/app/goods/3044110?loc=goods_rank,CBCS1JP011BK,남,9만 회 이상,1.8천 개 이상,"4,387"
233위,폴로 랄프 로렌,플리스 풀집 후디 - 네이비,https://www.musinsa.com/app/goods/2091682?loc=goods_rank,WMPOKNIN6820161-410,여,3천 회 이상,50개 이상,"2,113"
234위,꼬르녹,빈티지 오버핏 절개 블레이저 [카키],https://www.musinsa.com/app/goods/2750114?loc=goods_rank,COJAFW2208,남,500회 이상,,154
235위,도프셉,Lambskin Mixed Varsity jacket in Mint/Black,https://www.musinsa.com/app/goods/3044438?loc=goods_rank,DFS22FJK013BK,여,2천 회 이상,,472
236위,코드그라피,테크 나일론 후드 바람막이 자켓_7color,https://www.musinsa.com/app/goods/3033224?loc=goods_rank,CBCS1JP010CBCS1JP020,남,10.1만 회 이상,2.1천 개 이상,"5,583"
237위,컨셉트컬리지,빅패치 블랙 아이보리 야구자켓 / 바시티자켓 (남녀공용),https://www.musinsa.com/app/goods/2792264?loc=goods_rank,2022fw0015,여,3.7천 회 이상,50개 이상,"1,246"
238위,디스이즈네버댓,Crochet Knit Jacket Orange,https://www.musinsa.com/app/goods/2891348?loc=goods_rank,TN223KKNJK01OR,남,4천 회 이상,,"1,478"
239위,알파 인더스트리,MA-1 레귤러 블러드칫 Black,https://www.musinsa.com/app/goods/411216?loc=goods_rank,MJM21300C1,남 여,1.5만 회 이상,700개 이상,"2,642"
240위,쿠어,핀턱 포인티드 오버 다잉 데님 집업 (블루세이지),https://www.musinsa.com/app/goods/3058419?loc=goods_rank,CXD2JP06K-BLS,남 여,1.1만 회 이상,50개 미만,572
241위,지플리시,싱글 체크 블레이저 브라운,https://www.musinsa.com/app/goods/1762727?loc=goods_rank,20210101019,남,9.3천 회 이상,1.3천 개 이상,"2,206"
242위,디스커버리 익스페디션,경량 윈드레이저 남성 바람막이 (D/NAVY),https://www.musinsa.com/app/goods/3098276?loc=goods_rank,DMWJ61033-NYD,남,,,5
243위,트래블,3 레이어 써밋 후드 윈드 브레이커 블랙,https://www.musinsa.com/app/goods/2703789?loc=goods_rank,TRTTAWWB09UC6,남,4.5만 회 이상,2.4천 개 이상,"5,975"
244위,도프제이슨,오버핏 램스킨 싱글 자켓,https://www.musinsa.com/app/goods/1576682?loc=goods_rank,DF22SS2019,남 여,4.9만 회 이상,6.7천 개 이상,"23,652"
245위,쿠어,리버서블 오간자 후디드 점퍼 (머스타드옐로우),https://www.musinsa.com/app/goods/3062536?loc=goods_rank,CXD2JP10K-MDY,남 여,1.2만 회 이상,50개 미만,485
246위,리,블랙 RAW 데님 트러커 자켓,https://www.musinsa.com/app/goods/2997848?loc=goods_rank,LE2301JK36BK,남 여,1.9만 회 이상,200개 이상,"1,287"
247위,드로우핏,바시티 벌룬 투웨이 집업 니트 [BLACK],https://www.musinsa.com/app/goods/3037122?loc=goods_rank,DFKN3107BK,남,2.1만 회 이상,600개 이상,"2,967"
248위,르꼬끄,쉐브론 바람막이 자켓 (QO123TJK21),https://www.musinsa.com/app/goods/3047402?loc=goods_rank,QO123TJK21_DNV0,남,2.3천 회 이상,50개 미만,246
249위,아워스코프,High Density Corduroy Jacket (Orange Brown),https://www.musinsa.com/app/goods/2138581?loc=goods_rank,O21FWMJ02BR-A1,남,1.7만 회 이상,2.5천 개 이상,"7,481"
250위,일꼬르소,벌룬핏 웨이브 드리즐러 점퍼 블랙 IEJU3E207BK,https://www.musinsa.com/app/goods/3058685?loc=goods_rank,IEJU3E207BK,남,1만 회 이상,100개 이상,456
251위,247시리즈,울 캐시미어 봄버 자켓 DARK NAVY,https://www.musinsa.com/app/goods/2752466?loc=goods_rank,TMUAX22701NYD,남,9.1천 회 이상,300개 이상,995
252위,노스페이스,NA3BP02J 올레마 아노락,https://www.musinsa.com/app/goods/3071125?loc=goods_rank,NA3BP02J,남,1.2만 회 이상,100개 이상,705
253위,에스피오나지,Ray Yacht Parka Charcoal,https://www.musinsa.com/app/goods/2343199?loc=goods_rank,20220207-19,남 여,3.1만 회 이상,2.8천 개 이상,"6,637"
254위,알파 인더스트리,MA-1 루즈핏 라글란 사이드짚 Black,https://www.musinsa.com/app/goods/2294781?loc=goods_rank,CJK51500C1,남 여,7.7천 회 이상,400개 이상,"1,534"
255위,밀로,러기드 자켓 [딥 브라운],https://www.musinsa.com/app/goods/3074870?loc=goods_rank,ML182,남 여,8.9천 회 이상,50개 이상,543
256위,엘무드,오디너리 크롭 가디건 네이비,https://www.musinsa.com/app/goods/1567182?loc=goods_rank,LMDLOTNV338,남,9.3천 회 이상,2.7천 개 이상,"5,380"
257위,유니폼브릿지,m70 hood parka sage green,https://www.musinsa.com/app/goods/3042241?loc=goods_rank,UB-3358,남,9천 회 이상,100개 이상,463
258위,라퍼지스토어,[리뉴얼 ver.][3M 신슐레이트] M-1965 피쉬테일 숏 파카_Original Khaki,https://www.musinsa.com/app/goods/2102243?loc=goods_rank,m1037_722243,남 여,6.6만 회 이상,6천 개 이상,"26,351"
259위,르꼬끄,LE COURT] 선데이 바람막이 자켓_BLK (QN323TJK75),https://www.musinsa.com/app/goods/2692559?loc=goods_rank,QN323TJK75_BLK,남,600회 이상,50개 미만,182
260위,엘무드,다이아 크리즈 봄버 자켓 더스티크림,https://www.musinsa.com/app/goods/3019688?loc=goods_rank,L3AO0011GR,남,4.2천 회 이상,,177
261위,인사일런스,커브드 라인 울 블레이저 BLACK,https://www.musinsa.com/app/goods/3053837?loc=goods_rank,IM2C2JK03BK,남,3만 회 이상,100개 이상,"1,177"
262위,엠엔지유,오버사이즈드  램스킨 블루종 IN 블랙,https://www.musinsa.com/app/goods/2319846?loc=goods_rank,P00000OZ,남 여,1.7천 회 이상,50개 이상,731
263위,프리즘웍스,BUDDY HARRINGTON JACKET _ NAVY,https://www.musinsa.com/app/goods/3096448?loc=goods_rank,FZW2023SSOT006,남,9.8천 회 이상,50개 이상,522
264위,플레이스 스튜디오,오버핏 크롭 카라 스타디움 버튼 코튼 자켓 점퍼 블루종,https://www.musinsa.com/app/goods/2996381?loc=goods_rank,23S,여,4.7만 회 이상,1.4천 개 이상,"7,411"
265위,와이케이,숄 카라 가디건 네이비,https://www.musinsa.com/app/goods/3121398?loc=goods_rank,YK23SSKN01,여,500회 이상,,19
266위,레프트서울,리얼 양가죽 베지터블 오버핏 자켓 [브라운],https://www.musinsa.com/app/goods/3107627?loc=goods_rank,DMY001BRN,남,,,25
267위,드로우핏,오버사이즈 미니멀 체크 블레이저 [BEIGE],https://www.musinsa.com/app/goods/709192?loc=goods_rank,DFJK0002BE,남,4.9천 회 이상,400개 이상,"6,457"
268위,파브레가,범피 울 히든 블루종 자켓 (미드 그레이),https://www.musinsa.com/app/goods/2859173?loc=goods_rank,Wool Bumpy  Blouson Jacket (Mid Grey),남,1만 회 이상,200개 이상,"1,058"
269위,타미힐피거,풀 밀라노 릴렉스 가디건 (T12C6KCD020MT2BDS),https://www.musinsa.com/app/goods/2700919?loc=goods_rank,T12C6KCD020MT2BDS,남,1.7천 회 이상,50개 이상,331
270위,엄브로,헤리티지 스탠드넥 아노락 블랙 (UN421CWTO1),https://www.musinsa.com/app/goods/2763189?loc=goods_rank,UN421CWTO1_BLK,남 여,1.8만 회 이상,400개 이상,"2,699"
