순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요,구매후기 개수
79위,테이크이지,램스울 크루넥 오버니트(연차콜),https://www.musinsa.com/app/goods/1599217?loc=goods_rank,T20NT001,남 여,4.8만 회 이상,1.6만 개 이상,"76,597","후기 11,490개 보기"
80위,1993스튜디오,빈티지 반 집업_라이트그레이,https://www.musinsa.com/app/goods/2660716?loc=goods_rank,93223TMT1005,남 여,6.1만 회 이상,9.4천 개 이상,"34,511","후기 1,797개 보기"
81위,트래블,미시간 울버린 피그먼트 후드티 블랙 차콜,https://www.musinsa.com/app/goods/2099882?loc=goods_rank,TRTOAWHD12UC5,남 여,3.8만 회 이상,2.2만 개 이상,"80,788","후기 9,480개 보기"
82위,필루미네이트,오버핏 아치 로고 스웨트 셔츠-네이비,https://www.musinsa.com/app/goods/2096933?loc=goods_rank,Overfit Arch Logo Sweat Shirt,남 여,2.9만 회 이상,1.3만 개 이상,"19,113","후기 3,362개 보기"
83위,시티브리즈,링클 프리 베이직 셔츠_WHITE,https://www.musinsa.com/app/goods/2085005?loc=goods_rank,CTA0WS01WH,여,3.1만 회 이상,4.6천 개 이상,"21,330","후기 1,931개 보기"
84위,예일,(23SS) 2 TONE ARCH HOODIE BLACK,https://www.musinsa.com/app/goods/1742661?loc=goods_rank,YD01HD1007BK,남 여,2.9만 회 이상,2.1만 개 이상,"43,500","후기 6,540개 보기"
85위,필루미네이트,오버핏 그래피티 로고 후디-오트밀,https://www.musinsa.com/app/goods/3026606?loc=goods_rank,Overfit Graffiti Logo Hoodie,남 여,6.7만 회 이상,1.7천 개 이상,"13,376",후기 104개 보기
86위,무신사 스탠다드,베이식 긴팔 티셔츠 [화이트],https://www.musinsa.com/app/goods/1144989?loc=goods_rank,MITS0009-WH,남,4.1만 회 이상,4.8만 개 이상,"58,709","후기 66,737개 보기"
87위,브라운브레스,TAG HOODIE - BURGUNDY,https://www.musinsa.com/app/goods/2722805?loc=goods_rank,BISMHDB01BD,남 여,2.9만 회 이상,3.8천 개 이상,"12,870",후기 839개 보기
88위,수아레,[리뉴얼] 하프 터틀넥 니트 세트,https://www.musinsa.com/app/goods/1558847?loc=goods_rank,670743,남,2.9만 회 이상,4.8만 개 이상,"49,898","후기 27,205개 보기"
89위,인템포무드,해비 코튼 썸홀 후디 : 15color,https://www.musinsa.com/app/goods/2319988?loc=goods_rank,487389,남,3.1만 회 이상,9.1천 개 이상,"17,900","후기 5,286개 보기"
90위,폴로 랄프 로렌,클래식핏 스트레치 셔츠 - 화이트,https://www.musinsa.com/app/goods/1793989?loc=goods_rank,WMPOSHTN6820181-100,여,2.2만 회 이상,1.9천 개 이상,"17,091",후기 879개 보기
